Virus	Length	Genes	Viral_Genes	Host_Genes	Provirus	Group	Hallmark_Genes	Viral_Family	Vibrant	Host_MAG	Host_Class
D2_8318760||	4064	3	1	0	No	ssDNA	0	Unknown	No	None	None
D3_2357002||	4064	5	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_6151808||	4061	3	0	0	No	dsDNAphage	2	Unknown	No	None	None
D2_7272232||	4061	8	0	0	No	ssDNA	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D4_1328349||	4061	6	3	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_1877403||	4061	3	1	0	No	ssDNA	0	Unknown	No	None	None
D4_2791341||	4061	5	0	0	No	dsDNAphage	1	Unknown	Yes	00037-contigs	Bacteroidia
D4_4432903||	4060	3	0	0	No	dsDNAphage	1	Unknown	No	00049-contigs	J088
D3_3778415||	4059	4	0	0	No	dsDNAphage	0	Unknown	Yes	00029-contigs	Bacteroidia
D3_8265165||	4058	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D2_3550_length_4057_cov_61.514809_g1434_i0||	4057	2	2	0	No	RNA	1	Unknown	No	None	None
D3_3235918||	4057	6	0	0	No	ssDNA	0	Unknown	Yes	00005-contigs	Bacteroidia
D4_4668833||	4057	6	0	0	No	ssDNA	0	Unknown	Yes	00012-contigs	UBA11346
D1_2986818||	4056	8	2	0	No	dsDNAphage	0	Unknown	Yes	00032-contigs	Bacteroidia
D2_8286801||	4056	8	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_301837||	4056	2	1	0	No	dsDNAphage	1	Unknown	No	None	None
D4_779353||	4055	7	1	0	No	dsDNAphage	2	Unknown	Yes	None	None
D1_5141745||	4054	5	2	0	No	dsDNAphage	2	Unknown	Yes	00036-contigs	Alphaproteobacteria
D3_2539621||	4054	6	1	0	No	ssDNA	0	Unknown	Yes	00005-contigs	Bacteroidia
D3_3275112||	4054	2	0	2	No	dsDNAphage	0	Unknown	No	00065-contigs	Gammaproteobacteria
D3_5746852||	4054	6	4	0	No	dsDNAphage	3	Myoviridae	Yes	None	None
D4_2036903||	4054	6	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_3875731||	4054	6	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_1523013||	4053	3	1	0	No	dsDNAphage	2	Unknown	No	00047-contigs	Gammaproteobacteria
D1_715259||	4052	5	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_4159323||	4051	5	3	0	No	dsDNAphage	4	Unknown	Yes	None	None
D3_511670||	4051	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_6598508||	4051	1	0	0	No	dsDNAphage	1	Unknown	No	00067-contigs	Bacteroidia
D2_2260445||	4050	3	2	0	No	dsDNAphage	1	Unknown	No	None	None
D2_2270490||	4050	3	0	0	No	ssDNA	0	Unknown	No	00004-contigs	Bacteroidia
D1_3449851||	4049	6	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_1525210||	4049	6	0	0	No	dsDNAphage	0	Unknown	Yes	00056-contigs	Gammaproteobacteria
D2_6611947||	4049	7	0	0	No	dsDNAphage	0	Unknown	Yes	00034-contigs	Gammaproteobacteria
D3_7048745||	4049	3	0	0	No	dsDNAphage	0	Unknown	No	None	None
D4_5360225||	4049	4	0	0	No	ssDNA	0	Unknown	Yes	None	None
D1_278175||	4048	4	4	0	No	dsDNAphage	4	Siphoviridae	Yes	None	None
D2_5494175||	4048	5	4	0	No	dsDNAphage	4	Siphoviridae	Yes	None	None
D4_4100437||	4048	4	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_1415527||	4047	6	2	0	No	dsDNAphage	3	Unknown	Yes	None	None
D1_4032996||	4047	5	1	0	No	dsDNAphage	0	Unknown	Yes	00040-contigs	Paceibacteria
D1_4102882||	4047	11	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_5364101||	4047	11	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_7580144||	4046	8	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_391079||	4046	8	1	0	No	dsDNAphage	0	Siphoviridae	Yes	00005-contigs	Bacteroidia
D4_1692363||	4046	8	7	0	No	dsDNAphage	0	Unknown	Yes	00056-contigs	Cyanobacteriia
D4_4239102||	4046	11	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_3092958||	4045	3	1	0	No	ssDNA	0	Unknown	No	None	None
D1_5705270||	4045	7	5	0	No	dsDNAphage	3	Podoviridae	Yes	None	None
D3_10092107||	4045	12	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_313876||	4044	6	0	0	No	dsDNAphage	1	Unknown	Yes	00036-contigs	Alphaproteobacteria
D2_8245565||	4044	4	0	0	No	ssDNA	0	Unknown	Yes	00054-contigs	Bacteroidia
D3_518219||	4044	10	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_6531118||	4043	4	2	0	No	dsDNAphage	2	Myoviridae	Yes	None	None
D1_2910598||	4042	4	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_1003485||	4042	9	2	0	No	dsDNAphage	0	Unknown	Yes	00004-contigs	Bacteroidia
D3_7542902||	4042	13	6	2	Yes	dsDNAphage	4	Podoviridae	Yes	None	None
D2_3575_length_4040_cov_35.099824_g1446_i0||	4040	3	0	0	No	RNA	0	Unknown	No	00034-contigs	Gammaproteobacteria
D3_4661984||	4040	6	3	0	No	dsDNAphage	3	Siphoviridae	Yes	00036-contigs	Gammaproteobacteria
D4_2338980||	4040	8	6	0	No	dsDNAphage	0	Unknown	Yes	00041-contigs	Alphaproteobacteria
D2_8370417||	4039	4	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_3764435||	4038	4	3	0	No	dsDNAphage	2	Unknown	Yes	00049-contigs	J088
D2_224326||	4037	7	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_193462||	4037	10	2	0	No	dsDNAphage	0	Siphoviridae	Yes	None	None
D1_2495571||	4036	9	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_4203089||	4036	8	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_5718307||	4036	4	1	0	No	dsDNAphage	1	Podoviridae	Yes	None	None
D2_8316859||	4036	9	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_3466819||	4036	6	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_3785896||	4035	3	0	2	No	ssDNA	0	Unknown	No	00015-contigs	Bacteroidia
D1_4146064||	4035	5	4	0	No	dsDNAphage	1	Unknown	Yes	00009-contigs	Bacteroidia
D1_5867515||	4035	6	2	0	No	ssDNA	0	Myoviridae	Yes	00032-contigs	Bacteroidia
D2_916690||	4035	6	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_7115427||	4035	4	1	0	No	ssDNA	0	Unknown	Yes	None	None
D4_4166560||	4035	2	0	1	No	ssDNA	0	Unknown	No	00032-contigs	Cyanobacteriia
D2_3033038||	4034	3	2	0	No	dsDNAphage	2	Unknown	No	None	None
D2_6878221||	4034	5	0	1	No	dsDNAphage	0	Unknown	Yes	00004-contigs	Bacteroidia
D2_2385115||	4032	4	1	0	No	dsDNAphage	0	Unknown	Yes	00004-contigs	Bacteroidia
D2_2948176||	4032	10	1	2	Yes	dsDNAphage	0	Unknown	Yes	None	None
D2_7165549||	4031	9	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_6215561||	4030	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_3624038||	4029	6	3	0	No	dsDNAphage	3	Unknown	Yes	None	None
D3_4596855||	4028	7	0	0	No	dsDNAphage	0	Unknown	Yes	00014-contigs	Bacteroidia
D3_7451715||	4028	7	5	0	No	dsDNAphage	1	Myoviridae	Yes	00011-contigs	Bacteroidia
D3_2649093||	4027	5	1	0	No	dsDNAphage	2	Podoviridae	Yes	None	None
D2_4382746||	4025	6	1	0	No	dsDNAphage	1	Podoviridae	Yes	None	None
D2_6531320||	4025	6	2	0	No	ssDNA	0	Unknown	Yes	None	None
D1_3714550||	4024	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_2113368||	4024	5	0	0	No	ssDNA	0	Unknown	Yes	00022-contigs	Bacteroidia
D1_1393307||	4023	7	2	0	No	dsDNAphage	1	Unknown	Yes	00014-contigs	Cyanobacteriia
D4_1421574||	4023	7	0	0	No	dsDNAphage	0	Unknown	No	None	None
D3_3039092||	4022	7	4	0	No	dsDNAphage	3	Unknown	Yes	None	None
D1_81718||	4021	8	1	0	No	dsDNAphage	0	Unknown	Yes	00021-contigs	Verrucomicrobiae
D2_1530241||	4020	4	3	0	No	dsDNAphage	1	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_3426011||	4020	6	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_5256030||	4020	7	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_3214111||	4019	5	2	1	Yes	dsDNAphage	1	Unknown	Yes	00018-contigs	Alphaproteobacteria
D1_4284_length_4019_cov_102.866700_g1710_i0||	4019	3	3	0	No	RNA	1	Unknown	No	None	None
D3_7676787||	4019	10	2	0	No	dsDNAphage	0	Unknown	Yes	00009-contigs	UBA11346
D4_3157235||	4018	2	0	0	No	ssDNA	0	Unknown	No	00056-contigs	Cyanobacteriia
D2_3887232||	4017	4	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_6033937||	4017	9	3	1	Yes	dsDNAphage	1	Unknown	Yes	None	None
D4_3118780||	4017	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D1_664609||	4016	4	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_3536_length_4016_cov_14.799391_g1254_i0||	4016	3	1	0	No	RNA	1	Unknown	No	00039-contigs	Cyanobacteriia
D3_3763379||	4016	6	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_3139943||	4015	10	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_9135781||	4015	9	2	0	No	dsDNAphage	1	Unknown	Yes	00005-contigs	Bacteroidia
D2_4194259||	4014	4	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_1560096||	4014	5	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_3345319||	4014	5	0	0	No	dsDNAphage	0	Unknown	Yes	00073-contigs	Alphaproteobacteria
D3_7683895||	4014	4	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_115726||	4013	3	1	0	No	dsDNAphage	1	Unknown	No	00020-contigs	Cyanobacteriia
D4_3066115||	4013	9	0	0	No	dsDNAphage	0	Unknown	Yes	00003-contigs	Bacteroidia
D1_5055554||	4012	5	4	0	No	dsDNAphage	2	Siphoviridae	Yes	None	None
D2_6560103||	4012	5	1	0	No	dsDNAphage	0	Myoviridae	Yes	None	None
D1_4409423||	4011	5	2	0	No	dsDNAphage	0	Unknown	Yes	00014-contigs	Cyanobacteriia
D2_1530239||	4011	7	0	0	No	dsDNAphage	0	Unknown	Yes	00011-contigs	Alphaproteobacteria
D4_259243||	4011	3	1	0	No	dsDNAphage	1	Unknown	No	None	None
D3_9886287||	4010	4	0	0	No	dsDNAphage	1	Unknown	Yes	00018-contigs	Alphaproteobacteria
D1_3212792||	4009	5	5	0	No	dsDNAphage	4	Unknown	Yes	None	None
D2_1554217||	4009	10	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_27309||	4009	4	2	0	No	dsDNAphage	1	Unknown	Yes	00002-contigs	Gammaproteobacteria
D2_7704735||	4009	7	1	0	No	dsDNAphage	1	Unknown	Yes	00004-contigs	Bacteroidia
D4_4365886||	4008	5	1	0	No	dsDNAphage	0	Podoviridae	Yes	None	None
D2_6442814||	4007	7	6	0	No	dsDNAphage	2	Unknown	Yes	None	None
D2_8015587||	4007	2	0	0	No	dsDNAphage	1	Siphoviridae	No	00024-contigs	Alphaproteobacteria
D1_2033414||	4006	8	4	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_6094032||	4006	6	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_748862||	4005	7	7	0	No	ssDNA	0	Podoviridae	Yes	None	None
D4_2080871||	4005	7	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_4678188||	4005	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D4_853815||	4005	8	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_3673015||	4004	2	0	0	No	ssDNA	0	Unknown	No	00036-contigs	Alphaproteobacteria
D2_7466342||	4004	7	0	1	No	dsDNAphage	0	Unknown	Yes	None	None
D3_3368481||	4004	5	4	0	No	dsDNAphage	5	Unknown	Yes	00048-contigs	Cyanobacteriia
D4_4997947||	4004	7	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_2194722||	4003	4	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_4949629||	4003	5	0	0	No	dsDNAphage	0	Unknown	Yes	00009-contigs	UBA11346
D1_3478431||	4002	6	0	0	No	ssDNA	0	Unknown	Yes	00052-contigs	Cyanobacteriia
D1_4488347||	4002	7	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_211406||	4002	2	0	0	No	ssDNA	0	Unknown	No	None	None
D2_5705824||	4002	6	0	0	No	ssDNA	0	Unknown	Yes	00023-contigs	Alphaproteobacteria
D3_6007358||	4002	6	2	0	No	dsDNAphage	1	Unknown	Yes	00051-contigs	Verrucomicrobiae
D1_384725||	4001	9	1	1	No	dsDNAphage	0	Unknown	Yes	00014-contigs	Cyanobacteriia
D1_978175||	4001	9	1	0	No	dsDNAphage	0	Unknown	Yes	00013-contigs	UBA11346
D4_1540728||	4001	4	4	0	No	dsDNAphage	1	Unknown	Yes	00003-contigs	Bacteroidia
D3_9493814||	3998	6	0	0	No	ssDNA	0	Unknown	Yes	00048-contigs	Cyanobacteriia
D3_2690578||	3997	4	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_5900767||	3997	5	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_3069418||	3997	6	1	0	No	dsDNAphage	1	Autographiviridae	Yes	None	None
D1_5658052||	3996	12	0	0	No	dsDNAphage	0	Unknown	Yes	00014-contigs	Cyanobacteriia
D2_1959873||	3996	4	2	0	No	dsDNAphage	1	Unknown	Yes	00056-contigs	Gammaproteobacteria
D2_2172897||	3996	5	0	0	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D2_1803307||	3995	4	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_5573513||	3995	5	0	0	No	ssDNA	0	Unknown	Yes	00048-contigs	Cyanobacteriia
D3_9965059||	3994	8	1	0	No	dsDNAphage	0	Myoviridae	Yes	00005-contigs	Bacteroidia
D4_3273080||	3994	4	0	0	No	dsDNAphage	0	Unknown	No	00050-contigs	Cyanobacteriia
D4_5468203||	3994	6	2	0	No	dsDNAphage	0	Unknown	Yes	00002-contigs	Bacteroidia
D3_2644062||	3993	3	0	3	No	ssDNA	0	Myoviridae	No	00042-contigs	Gammaproteobacteria
D4_3179891||	3993	11	1	0	No	dsDNAphage	0	Unknown	Yes	00003-contigs	Bacteroidia
D3_2575326||	3992	6	1	0	No	dsDNAphage	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D3_962856||	3992	5	0	0	No	ssDNA	0	Unknown	Yes	00011-contigs	Bacteroidia
D1_3993992||	3991	9	2	0	No	dsDNAphage	0	Unknown	Yes	00005-contigs	Bacteroidia
D3_9848260||	3991	4	0	0	No	dsDNAphage	0	Myoviridae	Yes	00014-contigs	Bacteroidia
D4_5437339||	3991	6	4	0	No	dsDNAphage	3	Unknown	Yes	00052-contigs	Gammaproteobacteria
D4_5971015||	3991	3	2	0	No	dsDNAphage	2	Unknown	No	None	None
D3_7985309||	3990	4	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_3718298||	3990	7	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_5906826||	3990	1	0	0	No	dsDNAphage	1	Unknown	No	None	None
D1_352332||	3989	9	1	0	No	dsDNAphage	2	Unknown	Yes	None	None
D1_5959756||	3989	8	3	0	No	dsDNAphage	0	Unknown	Yes	00011-contigs	Alphaproteobacteria
D2_1924747||	3989	9	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_2909239||	3988	5	0	0	No	dsDNAphage	0	Unknown	Yes	00032-contigs	Cyanobacteriia
D4_5835881||	3988	8	2	0	No	dsDNAphage	3	Unknown	Yes	00002-contigs	Bacteroidia
D2_1539130||	3987	10	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_9320561||	3987	7	1	0	No	ssDNA	0	Unknown	Yes	00064-contigs	Cyanobacteriia
D4_3351849||	3985	8	2	0	No	dsDNAphage	2	Siphoviridae	Yes	00003-contigs	Bacteroidia
D1_3731311||	3984	4	3	0	No	ssDNA	0	Unknown	Yes	00014-contigs	Cyanobacteriia
D3_3133599||	3984	5	2	0	No	dsDNAphage	1	Unknown	Yes	00039-contigs	Cyanobacteriia
D3_8480160||	3984	10	1	0	No	dsDNAphage	0	Unknown	Yes	00022-contigs	Bacteroidia
D1_4343_length_3983_cov_139.636829_g1743_i0||	3983	4	1	0	No	RNA	1	Unknown	Yes	None	None
D4_549792||	3983	8	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_1398239||	3982	6	1	0	No	ssDNA	0	Unknown	Yes	None	None
D2_3382889||	3982	6	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_3919956||	3982	5	3	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_5564170||	3982	2	0	0	No	dsDNAphage	1	Unknown	No	None	None
D1_3833883||	3981	6	1	0	No	ssDNA	0	Siphoviridae	Yes	None	None
D1_5070982||	3980	4	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_7386709||	3980	5	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_7794302||	3979	3	0	2	No	ssDNA	0	Myoviridae	No	00039-contigs	Cyanobacteriia
D4_1959949||	3979	9	0	0	No	dsDNAphage	0	Siphoviridae	Yes	00046-contigs	Bacteroidia
D4_2705355||	3978	4	0	0	No	dsDNAphage	0	Unknown	Yes	00017-contigs	UBA11346
D1_1598469||	3977	7	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_1871535||	3977	9	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_5350391||	3977	3	0	0	No	ssDNA	0	Unknown	No	None	None
D3_6238280||	3977	5	0	0	No	dsDNAphage	0	Unknown	Yes	00011-contigs	Bacteroidia
D1_4416155||	3976	4	1	0	No	dsDNAphage	2	Unknown	Yes	None	None
D3_355218||	3976	6	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D1_4320306||	3974	6	3	0	No	dsDNAphage	1	Unknown	Yes	00036-contigs	Alphaproteobacteria
D2_367429||	3974	6	0	0	No	dsDNAphage	0	Siphoviridae	Yes	None	None
D3_10034745||	3974	2	0	0	No	ssDNA	0	Unknown	No	None	None
D3_8740516||	3974	3	1	0	No	ssDNA	0	Unknown	No	00019-contigs	Gammaproteobacteria
D3_9878991||	3974	6	4	0	No	dsDNAphage	3	Unknown	Yes	None	None
D4_3803807||	3974	5	5	0	No	dsDNAphage	2	Siphoviridae	Yes	None	None
D4_414765||	3974	4	1	0	No	dsDNAphage	0	Unknown	Yes	00029-contigs	Gammaproteobacteria
D4_799166||	3974	3	0	0	No	ssDNA	0	Unknown	No	00050-contigs	Cyanobacteriia
D1_5509888||	3973	5	5	0	No	dsDNAphage	2	Unknown	Yes	00009-contigs	Bacteroidia
D2_4788540||	3973	4	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_5784208||	3973	4	3	0	No	dsDNAphage	2	Unknown	Yes	00034-contigs	Gammaproteobacteria
D3_5572241||	3973	5	0	0	No	dsDNAphage	0	Unknown	Yes	00006-contigs	Alphaproteobacteria
D3_7704630||	3973	6	5	0	No	ssDNA	0	Myoviridae	Yes	None	None
D4_364894||	3973	5	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_5014842||	3973	4	0	0	No	dsDNAphage	0	Siphoviridae	Yes	00012-contigs	UBA11346
D4_87369||	3973	6	5	0	No	dsDNAphage	4	Siphoviridae	Yes	None	None
D3_2726512||	3972	3	0	0	No	ssDNA	0	Unknown	No	00022-contigs	Bacteroidia
D4_2472822||	3972	5	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_1287221||	3971	7	0	0	No	dsDNAphage	0	Unknown	Yes	00020-contigs	Cyanobacteriia
D3_6386909||	3971	4	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_1421101||	3971	4	1	0	No	dsDNAphage	1	Siphoviridae	Yes	None	None
D4_5312181||	3970	3	0	0	No	dsDNAphage	1	Unknown	No	00020-contigs	Cyanobacteriia
D3_790758||	3969	6	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_8536705||	3969	5	0	0	No	ssDNA	0	Unknown	Yes	00066-contigs	Gracilibacteria
D1_2618724||	3968	3	2	0	No	ssDNA	0	Myoviridae	No	None	None
D2_597552||	3968	2	0	0	No	ssDNA	0	Unknown	No	None	None
D3_8516303||	3968	4	1	0	No	dsDNAphage	2	Unknown	Yes	None	None
D4_1176002||	3968	6	2	0	No	dsDNAphage	1	Unknown	Yes	00014-contigs	Alphaproteobacteria
D2_4002685||	3967	8	0	0	No	dsDNAphage	0	Unknown	Yes	00058-contigs	Bacteroidia
D3_4355944||	3967	5	2	0	No	ssDNA	0	Unknown	Yes	00014-contigs	Bacteroidia
D3_7332581||	3967	4	0	0	No	dsDNAphage	1	Unknown	Yes	00018-contigs	Alphaproteobacteria
D3_8745340||	3967	10	1	0	No	dsDNAphage	0	Unknown	Yes	00036-contigs	Gammaproteobacteria
D4_2474920||	3966	7	2	1	No	dsDNAphage	0	Unknown	Yes	None	None
D1_2144308||	3965	9	4	0	No	dsDNAphage	0	Myoviridae	Yes	None	None
D1_3077130||	3965	11	2	0	No	dsDNAphage	0	Unknown	Yes	00014-contigs	Cyanobacteriia
D1_4971301||	3965	7	0	0	No	dsDNAphage	0	Unknown	Yes	00021-contigs	Verrucomicrobiae
D2_4889896||	3965	5	1	0	No	dsDNAphage	2	Unknown	Yes	None	None
D3_5175006||	3965	6	1	0	No	ssDNA	0	Myoviridae	Yes	None	None
D2_8202157||	3964	9	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_3093372||	3964	7	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_807401||	3964	8	0	0	No	dsDNAphage	0	Unknown	Yes	00041-contigs	Alphaproteobacteria
D3_2058142||	3963	9	4	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_3937514||	3962	3	0	0	No	dsDNAphage	0	Unknown	No	00032-contigs	Cyanobacteriia
D1_5883037||	3961	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_7861049||	3961	8	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D2_3545886||	3960	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_4126270||	3959	5	1	0	No	dsDNAphage	0	Unknown	Yes	00047-contigs	Verrucomicrobiae
D1_2685878||	3958	2	2	0	No	dsDNAphage	1	Unknown	No	None	None
D2_408228||	3958	5	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_639081||	3956	4	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_750916||	3956	4	3	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_1881001||	3956	7	1	0	No	dsDNAphage	0	Unknown	Yes	00028-contigs	Bacteroidia
D3_5140927||	3955	3	0	0	No	dsDNAphage	0	Siphoviridae	No	None	None
D4_2008793||	3955	3	1	0	No	dsDNAphage	1	Myoviridae	No	None	None
D2_1144096||	3954	10	1	0	No	dsDNAphage	0	Unknown	Yes	00067-contigs	Bacteroidia
D2_8052423||	3954	2	0	1	No	ssDNA	0	Unknown	No	None	None
D3_879193||	3954	7	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_4660353||	3954	4	1	0	No	dsDNAphage	1	Unknown	Yes	None	None
D4_61247||	3954	11	7	0	No	dsDNAphage	0	Autographiviridae	Yes	None	None
D3_1193246||	3953	5	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_6042233||	3953	5	1	0	No	dsDNAphage	1	Unknown	Yes	00032-contigs	Cyanobacteriia
D2_8081649||	3952	8	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_6557483||	3952	5	1	0	No	dsDNAphage	0	Podoviridae	Yes	None	None
D2_3043605||	3951	7	0	0	No	ssDNA	0	Unknown	Yes	None	None
D3_6479817||	3951	8	0	0	No	dsDNAphage	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D1_3292897||	3950	9	3	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_5255402||	3950	3	1	0	No	dsDNAphage	1	Unknown	No	None	None
D2_3901447||	3950	5	0	0	No	ssDNA	0	Myoviridae	Yes	None	None
D3_4082224||	3950	8	0	0	No	ssDNA	0	Unknown	Yes	None	None
D2_4640632||	3949	2	1	0	No	ssDNA	0	Unknown	No	00034-contigs	Gammaproteobacteria
D4_4021351||	3949	5	1	0	No	ssDNA	0	Unknown	Yes	None	None
D4_5131470||	3948	7	6	0	No	dsDNAphage	3	Siphoviridae	Yes	None	None
D2_2314608||	3947	6	2	0	No	dsDNAphage	1	Unknown	Yes	None	None
D3_2143937||	3947	11	1	0	No	dsDNAphage	1	Unknown	Yes	00027-contigs	Bacteroidia
D3_7919742||	3947	8	4	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_3042773||	3946	12	3	0	No	dsDNAphage	0	Unknown	Yes	00027-contigs	Bacteroidia
D4_4446862||	3946	3	0	2	No	ssDNA	0	Unknown	No	None	None
D2_6889931||	3945	8	0	0	No	dsDNAphage	0	Unknown	Yes	None	None
D3_9055713||	3945	4	2	0	No	ssDNA	0	Unknown	Yes	00039-contigs	Cyanobacteriia
D3_10116610||	3944	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D4_3313055||	3944	3	0	0	No	dsDNAphage	0	Unknown	No	None	None
D2_1998049||	3943	5	4	0	No	dsDNAphage	3	Siphoviridae	Yes	00011-contigs	Alphaproteobacteria
D4_2902596||	3943	6	1	0	No	ssDNA	0	Unknown	Yes	None	None
D4_3563269||	3943	3	0	0	No	dsDNAphage	0	Unknown	No	None	None
D3_1696930||	3941	3	1	0	No	dsDNAphage	2	Unknown	No	00039-contigs	Cyanobacteriia
D1_2185889||	3939	5	0	0	No	ssDNA	0	Unknown	Yes	None	None
D1_5267933||	3938	4	0	0	No	ssDNA	0	Unknown	Yes	None	None
D2_5028050||	3938	4	4	0	No	dsDNAphage	1	Myoviridae	No	None	None
D2_6595966||	3938	3	0	0	No	dsDNAphage	1	Unknown	No	None	None
D3_1782250||	3938	6	0	0	No	dsDNAphage	2	Unknown	Yes	00014-contigs	Bacteroidia
D4_661427||	3938	4	1	0	No	ssDNA	1	Unknown	Yes	00037-contigs	Bacteroidia
D1_2111568||	3937	5	1	0	No	dsDNAphage	1	Unknown	Yes	00015-contigs	Bacteroidia
D1_3911828||	3937	6	3	0	No	dsDNAphage	1	Unknown	Yes	00004-contigs	Gammaproteobacteria
D4_1922720||	3937	8	5	0	No	dsDNAphage	0	Unknown	Yes	00041-contigs	Alphaproteobacteria
D4_5684815||	3937	5	1	0	No	dsDNAphage	0	Unknown	Yes	None	None
D1_1193851||	3936	5	0	0	No	dsDNAphage	1	Unknown	Yes	None	None
D2_4537302||	3936	8	2	0	No	dsDNAphage	0	Unknown	Yes	None	None
D4_1245430||	3936	4	1	2	No	dsDNAphage	1	Unknown	No	00059-contigs	Bacteroidia
D4_4247561||	3936	8	0	0	No	dsDNAphage	0	Unknown	Yes	00005-contigs	Bacteroidia
